Wikidata ID,WD CY,WD EN,WLC CY,WLC EN,Authority / Area,Settlement type
Q3405015,Abaty Cwm-hir,Abbeycwmhir,Abaty Cwm-hir,Abbey Cwm-hir,Powys,hamlet
Q86589884,Abaty Nedd,Neath Abbey,Mynachlog Nedd,Neath Abbey,Dyffryn Clydach,neighborhood
Q1814107,Abaty Ystrad Fflur,Strata Florida Abbey,Ystrad-fflur,Strata Florida,Ystrad Fflur,abbey
Q1696604,Abaty Ystrad Marchell,Strata Marcella,,,Kingdom of Powys,abbey
Q4666736,Abenbury,Abenbury,,,Wrexham County Borough,community
Q24671090,Aber,Aber,,,Gwynedd,community
Q16894201,Aber-bach,Little Haven,Aber-bach,Little Haven,Pembrokeshire,village
Q3401577,Aber-banc,Aberbanc,Aber-banc,Aber-banc,Ceredigion,village
Q4666790,Aber-bîg,Aberbeeg,Aberbîg,Aberbeeg,Blaenau Gwent County Borough,village
Q3402341,Aber-craf,Abercrave,Aber-craf,Abercrave,Powys,village
Q5201424,Aber-Cywarch,Cywarch,Abercywarch,Abercywarch,Gwynedd,hamlet
Q3406494,Aber-ffrwd,Aberffrwd,Aber-ffrwd,Aber-ffrwd,Monmouthshire,village
Q3398476,Aber-ffrwd,Aberffrwd,Aber-ffrwd,Aber-ffrwd,Ceredigion,hamlet
Q107032166,Aber-lash,Aber-lash,Aber-lash,Aber-lash,Carmarthenshire,human settlement
Q3404980,Aber-miwl,Abermule,Aber-miwl,Abermule,Powys,village
Q4667135,Aber-nant,Abernant,Aber-nant,Aber-nant,Carmarthenshire,hamlet
Q48815851,Aber-oer,Aberoer,Aber-oer,Aber-oer,Wrexham County Borough,hamlet
Q319672,Aber-porth,Aberporth,Aber-porth,Aber-porth,Ceredigion,village
Q107032168,Aber-pwll,Aber-pwll,Aber-pwll,Aber-pwll,Gwynedd,suburb
Q15987470,"Aber, Ceredigion",Aber,,,Ceredigion,village
Q1765460,Aberaeron,Aberaeron,Aberaeron,Aberaeron,Ceredigion,town
Q2588227,Aberafan,Aberavon,Aberafan,Aberafan,Neath Port Talbot County Borough,town
Q2821566,Aberaman,Aberaman,Aberaman,Aberaman,Rhondda Cynon Taf,village
Q3396935,Aberangell,Aberangell,Aberangell,Aberangell,Gwynedd,village
Q4666755,Aberarad,Aber-arad,Aberarad,Aberarad,Carmarthenshire,village
Q3399358,Aberarth,Aberarth,Aber-arth,Aber-arth,Ceredigion,village
Q2564732,Aberbargoed,Aberbargoed,Aberbargod,Aberbargoed,Caerphilly County Borough,village
Q3404997,Aberbechan,Aberbechan,Aberbechan,Aberbechan,Powys,hamlet
Q13125321,Aberbowlan,Aberbowlan,Aberbowlan,Aberbowlan,Carmarthenshire,village
Q3405008,Aberbrân,Aberbrân,Aberbrân,Aberbrân,Powys,hamlet
Q4666797,Abercannaid,Abercanaid,Abercannaid,Abercannaid,Merthyr Tydfil County Borough,village
Q1868842,Abercarn,Abercarn,Aber-carn,Aber-carn,Caerphilly County Borough,town
Q399544,Abercastell,Abercastell,Abercastell,Abercastell,Pembrokeshire,hamlet
Q4666801,Abercegyr,Abercegir,Abercegyr,Abercegyr,Powys,village
Q13125322,Aberchwiler,Aberwheeler,Aberchwiler,Aberwheeler,Denbighshire,village
Q4666761,Aberclydach,Aberclydach,Aberclydach,Aberclydach,Powys,hamlet
Q107015022,Aberclydach,Aberclydach,Aberclydach,Aberclydach,City and County of Swansea,suburb
Q4666818,Abercregan,Abercregan,Abercregan,Abercregan,Neath Port Talbot County Borough,village
Q13125324,Abercrychan,Abercrychan,,,Carmarthenshire,village
Q4666839,Abercuch,Abercych,Aber-cuch,Aber-cuch,Pembrokeshire,village
Q4666838,Abercwmboi,Abercwmboi,Abercwmboi,Abercwmboi,Rhondda Cynon Taf,village
Q4667120,Abercynffig,Aberkenfig,Abercynffig,Aberkenfig,Bridgend County Borough,village
Q23702245,Abercynllaith,Abercynllaith,,,Powys,hamlet
Q3404663,Abercynon,Abercynon,Abercynon,Abercynon,Rhondda Cynon Taf,village
Q319369,Aberdâr,Aberdare,Aberdâr,Aberdare,Rhondda Cynon Taf,town
Q2556821,Aberdaron,Aberdaron,Aberdaron,Aberdaron,Gwynedd,village
Q991055,Aberdaugleddau,Milford Haven,Aberdaugleddau,Milford Haven,Pembrokeshire,town
Q4667189,Aberddawan,Aberthaw,,,Vale of Glamorgan,village
Q3395836,Aberdesach,Aberdesach,Aberdesach,Aberdesach,Gwynedd,village
Q107032157,Aberduar,Aberduar,Aberduar,Aberduar,Carmarthenshire,human settlement
Q4667051,Aberdulais,Aberdulais,Aberdulais,Aberdulais,Neath Port Talbot County Borough,village
Q319536,Aberdyfi,Aberdyfi,Aberdyfi,Aberdyfi,Gwynedd,village
Q4667057,Aberedw,Aberedw,Aberedw,Aberedw,Powys,village
Q4667060,Abereiddi,Abereiddy,Abereiddi,Abereiddi,Pembrokeshire,village
Q319538,Abererch,Abererch,Aber-erch,Aber-erch,Gwynedd,village
Q3244565,Aberfan,Aberfan,Aberfan,Aberfan,Merthyr Tydfil County Borough,village
Q319576,Aberffraw,Aberffraw,,,Isle of Anglesey,village
Q13125326,Abergarw,Abergarw,Abergarw,Abergarw,Bridgend County Borough,suburb
Q4667082,Abergarwed,Abergarwed,Abergarwed,Abergarwed,Neath Port Talbot County Borough,village
Q4667097,Abergeirw,Abergeirw,Abergeirw,Abergeirw,Gwynedd,hamlet
Q2771917,Abergele,Abergele,Abergele,Abergele,Conwy County Borough,town
Q4666757,Abergiâr,Aber-giar,Abergiâr,Abergiâr,Carmarthenshire,village
Q4667100,Aberglaslyn,Aberglaslyn Hall,Aberglaslyn,Aberglaslyn,Gwynedd,mansion
Q107032159,Aberglasne,Aberglasney,Aberglasne,Aberglasney,Carmarthenshire,human settlement
Q107032161,Abergorci,Abergorci,Abergorci,Abergorci,Rhondda Cynon Taf,territory
Q13125329,Abergorlech,Abergorlech,Abergorlech,Abergorlech,Carmarthenshire,village
Q1018730,Abergwaun,Fishguard,Abergwaun,Fishguard,Pembrokeshire,post town
Q13125327,Abergwaun ac Wdig,Fishguard and Goodwick,,,Pembrokeshire,community
Q11139049,Abergwenffrwd,Whitebrook,Abergwenffrwd,Whitebrook,Monmouthshire,hamlet
Q4667105,Abergwesyn,Abergwesyn,Abergwesyn,Abergwesyn,Powys,hamlet
Q107032163,Abergwidol,Abergwidol,Abergwidol,Abergwidol,Powys,territory
Q4667107,Abergwili,Abergwili,Abergwili,Abergwili,Carmarthenshire,village
Q4667109,Abergwydol,Abergwydol,,,Powys,village
Q4667111,Abergwynfi,Abergwynfi,Abergwynfi,Abergwynfi,Neath Port Talbot County Borough,village
Q3396898,Abergwyngregyn,Abergwyngregyn,Abergwyngregyn,Abergwyngregyn,Aber,village
Q3398874,Abergynolwyn,Abergynolwyn,Abergynolwyn,Abergynolwyn,Gwynedd,village
Q4667113,Aberhafesb,Aberhafesp,Aberhafesb,Aberhafesb,Powys,village
Q107032165,Aberhalen,Aberhalen,Aberhalen,Aberhalen,Carmarthenshire,human settlement
Q904472,Aberhonddu,Brecon,Brecon,Aberhonddu,Brecon,market town
Q27507353,Aberhonddu,Brecon,,,Powys,community
Q4667115,Aberhosan,Aberhosan,Aberhosan,Aberhosan,Powys,village
Q3398817,Aberllefenni,Aberllefenni,Aberllefenni,Aberllefenni,Gwynedd,village
Q107032167,Aberllolwyn,Aberllolwyn,Aberllolwyn,Aberllolwyn,Ceredigion,artificial entity
Q4971889,Aberllydan,Broad Haven,Aberllydan,Broad Haven,Pembrokeshire,village
Q4667128,Aberllynfi,Aberllynfi,Aberllynfi,Three Cocks,Powys,village
Q3401742,Abermagwr,Abermagwr,Abermagwr,Abermagwr,Ceredigion,hamlet
Q672545,Abermaw,Barmouth,Y Bermo,Barmouth,Gwynedd,town
Q3401625,Abermeurig,Abermeurig,Abermeurig,Abermeurig,Ceredigion,hamlet
Q30015094,Abermiwl gyda Llandysul,Abermule with Llandyssil,,,Powys,community
Q4667133,Abermor-ddu,Abermorddu,Abermor-ddu,Abermor-ddu,Hope,village
Q4667134,Abernant,Abernant,Aber-nant,Aber-nant,Powys,village
Q4667137,Abernant,Abernant,Aber-nant,Aber-nant,Rhondda Cynon Taf,village
Q3399956,Aberogwr,Ogmore-by-Sea,Aberogwr,Ogmore-by-sea,Vale of Glamorgan,village
Q27556140,Aberpennar,Mountain Ash,Aberpennar,Mountain Ash,Rhondda Cynon Taf,community
Q3309484,Aberriw,Berriew,Aberriw,Berriew,Powys,village
Q319710,Abersoch,Abersoch,Abersoch,Abersoch,Gwynedd,village
Q3304459,Abersychan,Abersychan,Abersychan,Abersychan,Torfaen,town
Q23051,Abertawe,Swansea,Abertawe,Swansea,City and County of Swansea,city
Q779813,Aberteifi,Cardigan,Aberteifi,Cardigan,Ceredigion,town
